layer,neuron,hypothesis,clean_prompt,corrupted_prompt,answer_pair,clean_activation,corrupted_logit_diff,patched_logit_diff,causal_effect,outcome
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"Twinkle, twinkle, little",N/A (Multi-Ablation),"('star', 'light')",N/A,5.1875,5.5625,0.375,Hypothesis Confirmed
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"Twinkle, twinkle, little",N/A (Multi-Amplified x2.0),"('star', 'light')",N/A,5.1875,4.875,-0.3125,Hypothesis Confirmed
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"Row, row, row your boat, Gently down the",N/A (Multi-Ablation),"('stream', 'river')",N/A,4.0625,3.3125,-0.75,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"Row, row, row your boat, Gently down the",N/A (Multi-Amplified x2.0),"('stream', 'river')",N/A,4.0625,4.3125,0.25,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"My grandma always said, an apple a day keeps the",N/A (Multi-Ablation),"('doctor', 'sickness')",N/A,11.6875,11.8125,0.125,Hypothesis Confirmed
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"My grandma always said, an apple a day keeps the",N/A (Multi-Amplified x2.0),"('doctor', 'sickness')",N/A,11.6875,11.75,0.0625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"The clumsy, fragile Humpty Dumpty sat on a",N/A (Multi-Ablation),"('wall', 'shelf')",N/A,6.6875,6.125,-0.5625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"The clumsy, fragile Humpty Dumpty sat on a",N/A (Multi-Amplified x2.0),"('wall', 'shelf')",N/A,6.6875,7.1875,0.5,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"For a simple lunch, I made a sandwich with peanut butter and",N/A (Multi-Ablation),"('jelly', 'cheese')",N/A,5.625,7.3125,1.6875,Hypothesis Confirmed
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"For a simple lunch, I made a sandwich with peanut butter and",N/A (Multi-Amplified x2.0),"('jelly', 'cheese')",N/A,5.625,4.625,-1.0,Hypothesis Confirmed
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,The actor pondered the great question: To be or not to,N/A (Multi-Ablation),"('be', 'die')",N/A,9.5625,9.25,-0.3125,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,The actor pondered the great question: To be or not to,N/A (Multi-Amplified x2.0),"('be', 'die')",N/A,9.5625,10.125,0.5625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,The tiny Itsy Bitsy spider climbed up the water,N/A (Multi-Ablation),"('spout', 'pipe')",N/A,7.25,6.6875,-0.5625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,The tiny Itsy Bitsy spider climbed up the water,N/A (Multi-Amplified x2.0),"('spout', 'pipe')",N/A,7.25,7.375,0.125,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,It is often said that the eyes are the window to the,N/A (Multi-Ablation),"('soul', 'mind')",N/A,11.0,10.9375,-0.0625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,It is often said that the eyes are the window to the,N/A (Multi-Amplified x2.0),"('soul', 'mind')",N/A,11.0,11.0625,0.0625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"The child sang to the farmer, Baa, baa, black sheep, have you any",N/A (Multi-Ablation),"('wool', 'food')",N/A,12.0625,11.125,-0.9375,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"The child sang to the farmer, Baa, baa, black sheep, have you any",N/A (Multi-Amplified x2.0),"('wool', 'food')",N/A,12.0625,12.0,-0.0625,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Ablation damages concept,"The detective followed a classic rule: where there's smoke, there's",N/A (Multi-Ablation),"('fire', 'heat')",N/A,8.5,8.3125,-0.1875,Hypothesis Falsified / Weak Effect
"[20, 24]","[2, 3]",Multi-Head Amplification enhances concept,"The detective followed a classic rule: where there's smoke, there's",N/A (Multi-Amplified x2.0),"('fire', 'heat')",N/A,8.5,8.5625,0.0625,Hypothesis Falsified / Weak Effect
