layer,neuron,hypothesis,clean_prompt,corrupted_prompt,answer_pair,clean_activation,corrupted_logit_diff,patched_logit_diff,causal_effect,outcome
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,"At the aquarium, we saw a giant, glowing jellyfish and",N/A (Multi-Ablation),"('tentacles', 'wheels')",N/A,7.5625,3.0625,-4.5,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,"At the aquarium, we saw a giant, glowing jellyfish and",N/A (Multi-Amplified x2.0),"('tentacles', 'wheels')",N/A,7.5625,9.0,1.4375,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,"At the pet store, I saw a beautiful green parrot and",N/A (Multi-Ablation),"('feathers', 'keyboard')",N/A,6.25,0.96484375,-5.28515625,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,"At the pet store, I saw a beautiful green parrot and",N/A (Multi-Amplified x2.0),"('feathers', 'keyboard')",N/A,6.25,8.0625,1.8125,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,"After school, my friend Jane wanted to",N/A (Multi-Ablation),"('talk', 'reboot')",N/A,9.625,9.0,-0.625,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,"After school, my friend Jane wanted to",N/A (Multi-Amplified x2.0),"('talk', 'reboot')",N/A,9.625,10.1875,0.5625,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,The museum had a huge skeleton of a dinosaur with,N/A (Multi-Ablation),"('bones', 'pistons')",N/A,9.6875,6.125,-3.5625,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,The museum had a huge skeleton of a dinosaur with,N/A (Multi-Amplified x2.0),"('bones', 'pistons')",N/A,9.6875,10.625,0.9375,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,"In the spring, the cherry tree was covered in pink blossoms and",N/A (Multi-Ablation),"('petals', 'oil')",N/A,4.6875,0.1875,-4.5,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,"In the spring, the cherry tree was covered in pink blossoms and",N/A (Multi-Amplified x2.0),"('petals', 'oil')",N/A,4.6875,6.96875,2.28125,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,"For a healthy dinner, Mom steamed some fresh cauliflower and",N/A (Multi-Ablation),"('broccoli', 'milk')",N/A,10.25,5.75,-4.5,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,"For a healthy dinner, Mom steamed some fresh cauliflower and",N/A (Multi-Amplified x2.0),"('broccoli', 'milk')",N/A,10.25,11.9375,1.6875,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,The garage had a huge engine of a tractor with,N/A (Multi-Ablation),"('pistons', 'bones')",N/A,4.75,2.34375,-2.40625,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,The garage had a huge engine of a tractor with,N/A (Multi-Amplified x2.0),"('pistons', 'bones')",N/A,4.75,5.75,1.0,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,The doctor used her cold stethoscope to listen,N/A (Multi-Ablation),"('to', 'with')",N/A,8.375,7.9375,-0.4375,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,The doctor used her cold stethoscope to listen,N/A (Multi-Amplified x2.0),"('to', 'with')",N/A,8.375,8.5,0.125,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,The squirrel buried the little acorn under the,N/A (Multi-Ablation),"('dirt', 'oven')",N/A,6.03125,6.09375,0.0625,Hypothesis Falsified / Weak Effect
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,The squirrel buried the little acorn under the,N/A (Multi-Amplified x2.0),"('dirt', 'oven')",N/A,6.03125,6.0625,0.03125,Hypothesis Falsified / Weak Effect
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Ablation damages concept,The pirate had a clever green parrot on his,N/A (Multi-Ablation),"('shoulder', 'belt')",N/A,11.375,10.0625,-1.3125,Hypothesis Confirmed
"[25, 20, 16, 25]","[4, 3, 5, 2]",Multi-Head Amplification enhances concept,The pirate had a clever green parrot on his,N/A (Multi-Amplified x2.0),"('shoulder', 'belt')",N/A,11.375,12.25,0.875,Hypothesis Confirmed
